signal_date,ticker,name,light,rebound,base_q,exit_reason,exit_price,ret,days_held,entry
2022-01-03,1418.TW,東華,yellow,1.0,0.4863055743208833,賣壓比例,15.949999809265137,0.2500555156543388,39,12.699999809265137
2022-01-03,1435.TW,中福,yellow,1.0,0.1479454393703773,賣壓比例,47.900001525878906,0.5468242604078016,91,30.850000381469727
2022-01-03,1454.TW,台富,yellow,1.0,0.6496243342637258,停損,12.708840074013942,-0.09495889475907246,12,13.952095921117264
2022-01-03,1529.TW,樂事綠能,yellow,1.0,0.700435442468627,停損,18.908875632431354,-0.08815458130682483,4,20.604740142822266
2022-01-03,1599.TWO,宏佳騰,yellow,1.0,0.655529151886421,賣壓比例,48.8344164247866,0.043768165879385944,28,46.52588723430905
2022-01-03,1709.TW,和益,yellow,1.0,0.5222247489078637,停損,17.895438791864184,-0.096013935951302,16,19.668860687090053
2022-01-03,1788.TWO,杏昌,yellow,1.0,0.7223614437988486,賣壓比例,109.54757690429688,-0.03997960047174385,16,113.4185051719168
2022-01-03,1796.TWO,金穎生技,yellow,0.8142209090542337,0.5948534473384008,賣壓比例,41.519958215530544,-0.02994646293474166,21,42.54514574297943
2022-01-03,2323.TW,中環,yellow,0.8837978020979542,0.7235589761529395,停損,9.603150247316695,-0.15545631241465405,15,11.292593521695112
2022-01-03,2427.TW,三商電,yellow,1.0,0.8587702307405165,停損,11.495432224568344,-0.09545565887931548,16,12.626871351614076
2022-01-03,2480.TW,敦陽科,yellow,1.0,0.7738831035194691,賣壓比例,68.92263793945312,0.22105231224699443,64,56.17614153259329
2022-01-03,3036.TW,文曄,yellow,1.0,0.4950684079102414,賣壓比例,66.38633936711621,0.1199865833678965,33,58.96623039955235
2022-01-03,3071.TWO,協禧,yellow,1.0,0.6306347929616607,停損,22.751799435723136,-0.10439600962005643,4,25.23900241002177
2022-01-03,3088.TWO,艾訊,yellow,1.0,0.9160214903270818,賣壓比例,43.74636844972726,0.03589228732958296,42,41.993465161011486
2022-01-03,3093.TWO,港建*,yellow,1.0,0.09417495170787449,停損,16.161474032018667,-0.09093281016959728,15,17.6644118305554
2022-01-03,3290.TWO,東浦,yellow,1.0,0.6822700244512665,停損,28.94222017018875,-0.10459309220624999,6,32.11317430125273
2022-01-03,3310.TWO,佳穎,yellow,0.8316578691307213,0.8555425343923945,停損,28.261361880702204,-0.10108799370952601,3,31.236238573471763
2022-01-03,3455.TWO,由田,yellow,1.0,0.6497601923486251,賣壓比例,71.05727235001774,0.038763623858494876,40,68.0225403221845
2022-01-03,3577.TWO,泓格,yellow,1.0,0.4991164183567921,賣壓比例,59.553125593165014,0.20665011626966692,50,49.115975160797475
2022-01-03,3596.TW,智易,yellow,1.0,0.6632843864693883,停損,94.56418973961655,-0.07864692277975235,6,101.98864958809212
2022-01-03,3624.TWO,光頡,yellow,1.0,0.39483670312140484,停損,64.64313760637963,-0.12880087564996176,16,73.70526440498442
2022-01-03,3684.TWO,榮昌,yellow,1.0,0.7393938079324076,賣壓比例,37.7451565130719,-0.047586175093200934,23,39.389107187410524
2022-01-03,4304.TWO,勝昱,yellow,0.5823195661006052,0.6024846821411087,賣壓比例,13.850000381469727,0.23075719797623498,40,11.199999809265137
2022-01-03,4420.TWO,光明,yellow,1.0,0.6877721628598141,賣壓比例,13.83439427038233,-0.04083547069521241,21,14.33594401977435
2022-01-03,4513.TWO,福裕,yellow,0.9626458349457455,0.5094501928085673,停損,14.233462283850804,-0.13937280386560022,5,16.426816940307617
